player,round,hole,strokes,par,score
"Loustau, Lucas",1,6,3,4,-1
"Loustau, Lucas",1,7,3,3,0
"Loustau, Lucas",1,8,5,4,1
"Loustau, Lucas",1,9,3,5,-2
"Loustau, Lucas",1,10,4,4,0
"Loustau, Lucas",1,11,3,4,-1
"Loustau, Lucas",1,12,3,3,0
"Loustau, Lucas",1,13,6,4,2
"Loustau, Lucas",1,14,5,5,0
"Loustau, Lucas",1,15,4,4,0
"Loustau, Lucas",1,16,4,4,0
"Loustau, Lucas",1,17,5,5,0
"Loustau, Lucas",1,18,3,3,0
"Baldini, Davide",1,1,5,5,0
"Baldini, Davide",1,2,4,4,0
"Baldini, Davide",1,3,4,3,1
"Baldini, Davide",1,4,5,4,1
"Baldini, Davide",1,5,3,4,-1
"Baldini, Davide",1,6,6,4,2
"Baldini, Davide",1,7,4,3,1
"Baldini, Davide",1,8,4,4,0
"Baldini, Davide",1,9,5,5,0
"Baldini, Davide",1,10,4,4,0
"Baldini, Davide",1,11,5,4,1
"Baldini, Davide",1,12,2,3,-1
"Baldini, Davide",1,13,3,4,-1
"Baldini, Davide",1,14,5,5,0
"Baldini, Davide",1,15,4,4,0
"Baldini, Davide",1,16,4,4,0
"Baldini, Davide",1,17,6,5,1
"Baldini, Davide",1,18,2,3,-1
"Nuno, Alejandro",1,1,4,5,-1
"Nuno, Alejandro",1,2,4,4,0
"Nuno, Alejandro",1,3,4,3,1
"Nuno, Alejandro",1,4,5,4,1
"Nuno, Alejandro",1,5,3,4,-1
"Nuno, Alejandro",1,6,3,4,-1
"Nuno, Alejandro",1,7,4,3,1
"Nuno, Alejandro",1,8,5,4,1
"Nuno, Alejandro",1,9,5,5,0
"Nuno, Alejandro",1,10,4,4,0
"Nuno, Alejandro",1,11,4,4,0
"Nuno, Alejandro",1,12,3,3,0
"Nuno, Alejandro",1,13,4,4,0
"Nuno, Alejandro",1,14,6,5,1
"Nuno, Alejandro",1,15,4,4,0
"Nuno, Alejandro",1,16,4,4,0
"Nuno, Alejandro",1,17,5,5,0
"Nuno, Alejandro",1,18,3,3,0
"Hernandez, Frank",1,1,5,5,0
"Hernandez, Frank",1,2,4,4,0
"Hernandez, Frank",1,3,3,3,0
"Hernandez, Frank",1,4,5,4,1
"Hernandez, Frank",1,5,4,4,0
"Hernandez, Frank",1,6,4,4,0
"Hernandez, Frank",1,7,4,3,1
"Hernandez, Frank",1,8,5,4,1
"Hernandez, Frank",1,9,4,5,-1
"Hernandez, Frank",1,10,4,4,0
"Hernandez, Frank",1,11,4,4,0
"Hernandez, Frank",1,12,3,3,0
"Hernandez, Frank",1,13,5,4,1
"Hernandez, Frank",1,14,5,5,0
"Hernandez, Frank",1,15,5,4,1
"Hernandez, Frank",1,16,4,4,0
"Hernandez, Frank",1,17,5,5,0
"Hernandez, Frank",1,18,2,3,-1
"Montano, Fabio",1,1,4,5,-1
"Montano, Fabio",1,2,4,4,0
"Montano, Fabio",1,3,5,3,2
"Montano, Fabio",1,4,4,4,0
"Montano, Fabio",1,5,3,4,-1
"Montano, Fabio",1,6,5,4,1
